Ano,Mes,ISA-E_s_0.0,ISA-E_pred_s_0.0,Erro_s__s_0.0,ISA-E_s_0.05,ISA-E_pred_s_0.05,Erro_s__s_0.05,ISA-E_s_0.1,ISA-E_pred_s_0.1,Erro_s__s_0.1,ISA-E_s_0.15,ISA-E_pred_s_0.15,Erro_s__s_0.15,ISA-E_s_0.2,ISA-E_pred_s_0.2,Erro_s__s_0.2,ISA-E_s_0.25,ISA-E_pred_s_0.25,Erro_s__s_0.25
2019,9,91.4,83.17869377698753,1.1950284761847803,91.7107476840387,81.38666249688374,3.720867973046556,91.66396430726559,90.17665190047533,0.9359679078310307,91.59299540571811,90.72895481519576,0.4068159582792457,91.73553110923645,90.84561379908864,0.3508351193912597,91.5838301768627,91.06807991692769,0.38550281865512637
2019,10,92.5,75.88235798356247,3.2613667268946522,92.13502286450148,86.19861735588196,3.1397740060135284,91.84045365803,88.17013490982279,1.8573126518662357,91.838325575264,90.72348568093452,0.41135977630804554,91.93824926300157,91.02696036049326,0.5429271748722975,91.84647171457463,91.22658449651105,0.4446904021962867
2019,11,92.2,85.13170396799975,1.4245739157846433,92.57154182411776,90.13724834633095,0.543025476279193,91.98863797474269,89.70285213883827,1.2829409617289065,92.08549438602222,90.65017663871215,0.5706271986677306,92.1406218858765,91.16987317722572,0.8397633943835093,92.10679123948597,91.64207347635327,0.5067947497347325
2019,12,93.6,90.36549805772813,3.893798650207369,92.98591691091396,89.70550468114587,0.15001197867896554,92.13405555991476,90.54002152592078,0.7651751622318544,92.32747920455859,90.3296892718777,0.3759238673935348,92.34272169535828,90.56884292494097,1.9486285412505102,92.36480363287264,91.82246133872383,0.41455005658125527
2020,1,93.0,89.83466971059897,0.9929091337599896,93.37352368703198,89.38279496016165,0.8834209853207943,92.3334046655615,90.78676307238607,0.9080332330715758,92.56515740310498,90.31454900162663,0.47974985447731655,92.54461475094631,90.1924925141625,2.5591885837237376,92.62053335372215,91.99826404805879,0.3178272143144447
2020,2,92.5,83.50612740703352,0.7414569801433513,90.97138046728784,87.76469250170437,2.1865283437138334,92.61170371252443,88.4881584709823,0.4502767730062614,92.7998528107383,89.71807681536947,0.5869553925145113,92.74633409706561,90.86979396220626,1.991774416411176,92.87400347056715,92.16809797655061,0.2974037070886551
2020,3,91.8,95.74377176567565,1.2448269594326093,87.83663858056902,87.49604584467282,0.9621632108122474,92.9322278449232,85.06706898432772,1.6165320159566043,93.03243809908832,90.06874961685833,0.8360825756159561,92.9479009056517,91.27762926000851,1.5831928530200652,93.1252411989259,92.41661957357479,0.35552951702473284
2020,4,61.5,74.43410136014701,1.5877441541114512,85.907481363336,84.28499951690164,1.4534102061192895,93.26771936959425,81.88410431367743,2.211513194877495,93.26351832196073,85.71671237913345,1.641763234949678,93.14935164725937,91.59891768992802,1.1627497411212213,93.37428727790386,92.6798548383309,0.37860210092855373
2020,5,64.0,73.13514924094949,0.3971671447271255,83.96629807776569,78.94524091164439,1.4220746294631859,93.53373938964255,81.37941311333942,1.0358555909352658,93.49359657095576,85.0745012332757,1.353183842201746,93.35075208196264,92.103524562205,0.8150096530740185,93.62120086197388,92.87070074184359,0.6271576285863146
2020,6,72.6,82.32715781377223,2.7361144912877795,81.83892521501993,84.07049164054283,3.7813589499387636,93.77581645633808,80.2186602414205,1.5508872289708762,93.72304228231792,83.769979818031,1.1639199954456385,93.55216914692154,92.33382889850061,0.7403974901332354,93.86604614879866,93.00636004843977,1.025225407621732
2020,7,79.6,79.30503191529407,1.320808807629703,79.62029667291984,87.44976351523587,2.226967184868427,94.00912114231568,84.69166218067802,0.3300669848843705,93.95212395340877,86.02023240667502,0.9360210971740583,93.75366370433433,92.98502281431621,0.6818365891755079,94.1088883330244,93.20414277253943,1.124640602934395
2020,8,88.6,93.5767313250845,1.5708115208666564,83.1286058469337,90.46526676372733,0.6860618830586822,94.23932066036808,91.21787635638071,0.5597838754538479,94.18104708608439,82.45349913864666,5.744650181455694,93.95529898892475,93.3478788916144,1.1344255543658708,94.34980316708877,93.45669401674654,1.0996534847924653
2020,9,92.9,90.47325777533248,0.8844125903087702,86.34842368213653,90.41651343217632,1.3753937483133292,94.46944498661614,91.84002062377407,0.5434025297563536,94.41005810310128,89.08073470842972,5.004746408744733,94.15719325929665,93.29653857023143,0.7344760611219289,94.58891909679666,93.72075377743587,0.9055354898086092
2020,10,96.5,95.0193226147019,1.4171046470962618,89.36723196584737,91.7640166212744,0.44334446852518133,94.70237180547923,92.61858154444995,0.5492158578727145,94.63970850175066,86.81488463980583,0.6970921359956433,94.35958884904194,93.5546341982617,0.47149925127917547,94.82642951957821,94.00199136663853,0.7982190066049424
2020,11,98.2,85.75091658514566,2.021027400698392,92.42143933883715,92.62928175862723,0.7426498607358044,94.94048438999168,92.0173583362011,0.6122039740589027,94.87062519021481,89.92742653574538,1.3848672096009884,94.56275636582174,93.6118366476764,0.7649374108866642,95.06254661987556,94.14557391896723,0.9027514555479358
2020,12,98.0,88.45628621055465,1.5551443184946923,95.4990964215859,91.26589868762015,0.8228966040219954,95.1844352016966,92.15362050111682,0.5177728050978232,95.10314937806028,92.5109427996906,1.1442799959094057,94.7668686730619,93.32265944737135,1.1459798657903788,95.29744765918004,94.48774809240804,0.6597966556782039
2021,1,95.3,86.23483034684392,0.22049775131652397,98.5787756656267,90.20826553452427,2.4381729291271936,95.43307647325582,93.82198308043996,0.740652765158893,95.33720345944522,94.92781383105053,0.9566158748987412,94.97194845282147,93.52767113463067,1.0142326561649815,95.53125015447803,94.88783119697989,0.14365869967532238
2021,2,93.4,86.35187094040485,0.20232077334208942,101.6157076207594,88.07415961738107,1.8608785305342674,95.68412666907561,94.72972342103233,0.7277547000584482,95.57239260667154,98.61859895538132,1.3002751898251754,95.17789497429987,94.13859629655755,0.7052026183804392,95.76402188643648,95.21249356330613,0.045171006280819825
