Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IPCA,IPCA_pred,Erro
2013,2,0.0037920172263112466,0.004225283315395842,0.0049328188882578755,-0.0043772314183697135,0.6,0.60869306554354,0.02595864888592525
2013,3,0.0014032259087565478,0.0013986720543314646,0.0015265193178159106,-0.0011819208532333567,0.47,0.562294237892716,0.03452690474790027
2013,4,0.0013804210175305304,0.0014170251331542389,0.0014907430855693972,-0.0010573149355682587,0.55,0.4331314942673348,0.04274530425762796
2013,5,0.0013251438156541122,0.0013300132352064176,0.0014327892180283728,-0.001076712174358619,0.37,0.38800531768979285,0.05216701587907473
2013,6,0.0012930208058979887,0.0013371741827533873,0.0013620518169999334,-0.0008855399733010429,0.26,0.33367622979099953,0.03472287533221498
2013,7,0.0013320167139339292,0.001450743668004803,0.0014760652312947363,-0.0009565607110026759,0.03,0.16188585125040109,0.038120503091875105
2013,8,0.0013691795101775056,0.0014631408972197,0.001479934656065011,-0.0009427808289844742,0.24,0.31707816455981574,0.03151803888903965
2013,9,0.0012841632035159934,0.0013375364747556125,0.0013985960898220617,-0.0009766053745675779,0.35,0.33154531700614515,0.025831541289994844
2013,10,0.0014180157932928402,0.001557733815517066,0.0014585858330350477,-0.0007099103360076444,0.57,0.5113058795814084,0.008917210207195233
2013,11,0.0013389795305117,0.0014278839747988788,0.0013052313738278535,-0.0005709697826073217,0.54,0.43961671510239086,0.03175514263462841
2013,12,0.0012353607443805403,0.0012815916026553207,0.0012365583801731144,-0.00067580110356175,0.92,0.7399169667655372,0.08083737922200146
2014,1,0.0013325669593142236,0.0014192299556867365,0.001320244174121195,-0.0006250633965847145,0.55,0.4220464146979749,0.031504719940269515
2014,2,0.0013438004553126255,0.0013445235789559032,0.001363457148697384,-0.0008751399830613704,0.69,0.594819525043559,0.019501883020504294
2014,3,0.0013095778426631627,0.0012935069328294017,0.0014334348181625242,-0.0011475188011315963,0.92,0.7810085028529711,0.008453351159513602
2014,4,0.0012952403431172998,0.0013076122350212701,0.0013456030440158547,-0.0009002668718679047,0.67,0.5968064381590475,0.021276239531534426
2014,5,0.0012980454178830847,0.0013923390074841973,0.0013345219515309068,-0.0007118736954894554,0.46,0.4284520766882786,0.01723935845860406
2014,6,0.001422887945503877,0.0014986731758085694,0.0015285082080499653,-0.00099739507529186,0.4,0.4656020410465867,0.020443034282723826
2014,7,0.0013236851879057704,0.0014228487432892205,0.0013423056363430184,-0.0006735950674768672,0.25,0.30499271310021553,0.01882869760182918
2014,9,0.004811547420950744,0.004887507612826285,0.004730225048612941,-0.003160800605890615,0.57,0.606611138454896,0.019421856688518133
2014,10,0.004843768007245926,0.0048309672376125245,0.004763656083158705,-0.0033231327704072782,0.42,0.5643523340390414,0.03231248643477749
2014,11,0.004854868606217017,0.004892108836694268,0.004769336394846506,-0.003241975637553481,0.51,0.614145795523261,0.050135859692810245
2014,12,0.005066839285868175,0.004834486684562835,0.004711360819167826,-0.0031997294911563024,0.78,0.7359157819763255,0.0445657075045756
2015,1,0.004891886710459422,0.004925154426188554,0.004860173003022579,-0.003396139995270697,1.24,0.9611427675106736,0.08066047726714459
2015,2,0.0013683756495425012,0.0014523393292863558,0.0014726579161412146,-0.0009449818845826223,1.22,0.8816981983303045,0.09480726157782533
2015,3,0.0014612760417196699,0.0015127429481756815,0.0016315180250809874,-0.0012293580363261793,1.32,1.0489358810081062,0.07785089867769414
2015,4,0.0014493005611030472,0.001476233898779916,0.0015336190085412824,-0.0010527530882496108,0.71,0.5999748726747782,0.013851971557698175
2015,5,0.0014286731152465559,0.001443040286912018,0.0015340380843521949,-0.0011167128610472898,0.74,0.5973642747996273,0.017844059857144493
2015,6,0.0014079885177214321,0.0014266713778883053,0.0015248885122025521,-0.0011247628489400904,0.79,0.6380391998962511,0.019742368780909618
2015,7,0.0013539629534190336,0.0014128005826455831,0.0014621502650177661,-0.0009935329542611383,0.62,0.5236000216297977,0.03507688054606968
2015,8,0.0014308875319802364,0.0014683001216422987,0.0015712181577355441,-0.0011621894522374316,0.22,0.3175281215988535,0.021527044657589027
2015,9,0.001412032619087574,0.0015230549795841191,0.0015534389814307607,-0.001013781267519051,0.54,0.4650095421374423,0.027543824262567677
2015,10,0.0013981960445834038,0.0015220987388231346,0.0014879225692137335,-0.0008511009121053466,0.82,0.6032288697612596,0.0335309005985267
2015,11,0.0015114405230842439,0.0015382061585904197,0.0016250272293735252,-0.0011648043848637385,1.01,0.9342379958433717,0.029702692237134842
2015,12,0.0013601111716232126,0.001395276688589286,0.0015080293348132064,-0.0011419327018400822,0.96,0.7759324873083806,0.03718135087779312
2016,1,0.0014911528392626474,0.0016151014850556583,0.0016303195042234127,-0.0010323618920083787,1.27,0.961956084510658,0.0634923454272986
2016,2,0.0015000452131391849,0.0015459935269710938,0.001689870449659767,-0.0013128483916213126,0.9,0.8326006871926357,0.04920352738319246
2016,3,0.0013725663949498764,0.0013710176477294467,0.001490306731523043,-0.0011434114648318234,0.43,0.3831164311167008,0.05493747456444023
2016,4,0.0013606593582629763,0.0014511156776214162,0.0014576564635063291,-0.0009096366439410803,0.61,0.47535741662308584,0.025536254033524004
2016,5,0.001389058333911399,0.001329543188500426,0.0014326903858317488,-0.0010773548547897663,0.78,0.5839118005010733,0.055513040181517696
2016,6,0.0013083792487189648,0.001342669889601586,0.0014222624410163245,-0.001026295974650941,0.35,0.38041731474358936,0.02825407079465761
2016,7,0.001420753681030583,0.0014467345787164154,0.0014998852888696928,-0.001023963838581042,0.52,0.46941511504600864,0.03312953568826722
2016,8,0.0013969889682470013,0.0014324399290771498,0.0014650996279629075,-0.0009637180094328705,0.44,0.3668710849790084,0.037967125363903384
2016,9,0.001359845845321712,0.0014302383662780408,0.001433700548133625,-0.0008890564206677963,0.08,0.18626723847662793,0.032647868485379004
2016,10,0.0014498234069027782,0.0015500231717748103,0.001534387348313414,-0.0009148388191360636,0.26,0.3649434224099475,0.02720119882920651
2016,11,0.0013377360156238125,0.001368552963023454,0.0013458511028143709,-0.0007853965286094083,0.18,0.28659314246244655,0.029959882247208247
2016,12,0.0013004797363627457,0.0013609559801165173,0.0014192740029379022,-0.000984137596267966,0.3,0.34429670420694325,0.03619943408454524
2017,1,0.0012889793657480763,0.0013391276051741606,0.0013362679228347543,-0.0008171020668051436,0.38,0.38306811818986286,0.02119797496545312
2017,2,0.001257092246285572,0.001283218926841353,0.0013042159142769572,-0.0008425853729824765,0.33,0.4348378839675665,0.021699391279071677
2017,3,0.00130337332779425,0.001371195285910346,0.001397812110093095,-0.0009108478019471104,0.25,0.2843323701266685,0.004706860618331912
2017,4,0.0013245342547156046,0.0013932462216953408,0.0013566629993030717,-0.0007657440797853072,0.14,0.27813994032701284,0.02566261350927096
2017,5,0.0014055493545465417,0.0016960151005060498,0.0014071106080948835,-0.00031860427892532853,0.31,0.3585389241732257,0.021788533281188398
2017,6,0.0013235552696970203,0.0014593840863081165,0.001359702423884365,-0.0006480325750748676,-0.23,0.03049010711263237,0.06469965890140085
2017,7,0.0013417997871627695,0.0014247520741276737,0.0014414943143053706,-0.0009190217595335049,0.24,0.26152694095300677,0.013319192384120698
2017,8,0.0014204734199508148,0.0015334910025662292,0.0014751971875448197,-0.0007975608950258617,0.19,0.3019300794321898,0.026313468107143415
2017,9,0.0013714539628332794,0.001398890112772254,0.0014990913348387725,-0.0011126439322148105,0.16,0.2967531932918725,0.023279609673939175
2017,10,0.0013249876571330673,0.0013573000322569784,0.0013924322757138717,-0.0009236744997232115,0.42,0.4036409441829751,0.02977753097116193
2017,11,0.0013553658018381602,0.0014219742319559266,0.0014140778608390072,-0.0008554515319786908,0.28,0.3471543781068063,0.03364135626779834
2017,12,0.0012715675271491264,0.0014378398367917303,0.0012605472184125,-0.00043991283702508595,0.44,0.4386602904899502,0.07481858823381683
2018,1,0.001351201915138702,0.0015058350479825982,0.001284381760464704,-0.00037089181428826256,0.29,0.33910071068543457,0.05320080070709158
2018,2,0.0013820979743260763,0.0014697795765145026,0.0013451150817968046,-0.0005917067756872754,0.32,0.27845163497471837,0.015126060436204125
2018,3,0.0013442182205022964,0.0014094825697253926,0.001323877114930649,-0.000652657621577423,0.09,0.22394983448887235,0.037190793887187275
2018,4,0.0013261882851359045,0.0013133250941884346,0.0013339476413524775,-0.0008601767070382004,0.22,0.3385267652864092,0.07486077871128907
2018,5,0.0012885195333816356,0.001265579480393044,0.0012852541803204387,-0.0008284077720339601,0.4,0.46927720261871547,0.03185560101535074
2018,6,0.0013231051048512876,0.0013245667547824194,0.0013401496098143291,-0.0008544431626956038,1.26,0.8936793884047577,0.062326556650534166
2018,7,0.0014542320881431627,0.0014323039881061577,0.0015237006849175478,-0.0011111057973899718,0.33,0.3877474168716748,0.03464364383057555
2018,8,0.001394916675288676,0.0013834999132566154,0.0013299555704093754,-0.0007171604465212124,-0.09,0.13905212960961233,0.039031820716739496
2018,9,0.0013200536603821872,0.0012812066574857184,0.001363605443518028,-0.0009955087493651875,0.48,0.5566141777633489,0.038665904862179364
2018,10,0.0014614755674210208,0.0014758566585760058,0.0015401270775984661,-0.0010698078858266597,0.45,0.4932392399415251,0.040416584087087294
2018,11,0.001385817138582632,0.0014509478815401859,0.0013541147209880126,-0.0006499915403877472,-0.21,0.062316464939712296,0.04488353027887851
2018,12,0.0013710569694131748,0.001383995100152593,0.001277255899979508,-0.0005839084855985053,0.15,0.3920530107559259,0.09045008649974648
2019,1,0.0013666221875454968,0.0013986355235452886,0.0013392866505051255,-0.0007119034850539285,0.32,0.4309568150924483,0.037871296521280996
2019,2,0.0013667491515948385,0.0014370974145508715,0.0013343644835552492,-0.0006266534704090357,0.43,0.35583847786908124,0.013495964852393879
2019,3,0.0015441549433465632,0.0016665958914407577,0.001503586446227873,-0.0006165814146392409,0.75,0.651476688509987,0.10052560634312906
2019,4,0.001411680032438049,0.001623268072171277,0.0013608442502553103,-0.0003403110666080393,0.57,0.4449584123297161,0.020935680351140996
2019,5,0.0013616322265171006,0.0014796346945815328,0.0013033289616279828,-0.00046811687811621736,0.13,0.29448262266165,0.030757756570198466
2019,6,0.001438459691943752,0.0015681902928175449,0.0014018636492923971,-0.0005476806615394646,0.01,0.19688758178604845,0.06204400655806408
2019,7,0.0014029567929624103,0.0015785193237017854,0.0013703989248922057,-0.0004491066311691191,0.19,0.3321158766329857,0.05355764091396979
2019,8,0.0014591331757513614,0.0015440845527280183,0.0013883396509658222,-0.0005594103653124572,0.11,0.26471595026151784,0.06603658861006685
2019,9,0.0014825571896380102,0.001527889943333084,0.0015215852910298877,-0.00092464285786921,-0.04,0.23063729054402787,0.0775578277287405
2019,10,0.0015189750131783314,0.0015496066729831673,0.0014857648771021965,-0.0007935513168467174,0.1,0.332027435754165,0.09469696404548228
2019,11,0.001419821560008439,0.0015328782358887715,0.0013581262498991262,-0.000504791225515258,0.51,0.3949162844003641,0.04189482665576385
2019,12,0.0013569418803230878,0.0013877960247526584,0.0013131577251714098,-0.0006668440889268933,1.15,0.8311018895365413,0.04887938636051865
2020,1,0.0014446051845348894,0.0014874847215215273,0.0013556361662504107,-0.0005845678583394115,0.21,0.29532044507339333,0.024303014479501436
2020,2,0.0013754516587764717,0.0014015629994215404,0.001344823404438937,-0.0007202565891705434,0.25,0.36523149027845225,0.03832628149457506
2020,3,0.0012747194913767439,0.001253998291996579,0.0013264145424318247,-0.0009536977734330526,0.07,0.3170443499542216,0.08872904218887531
2020,4,0.0013846018497342375,0.0014512248087390216,0.0014903720862901077,-0.0009915692053731587,-0.31,-0.0175741647804714,0.04798966327463505
2020,5,0.001413671891437297,0.0014868277101941678,0.0015005551092462375,-0.0009496621917141498,-0.38,-0.06047768192037494,0.02246302071042278
2020,6,0.0013518029933779253,0.0013825324440853916,0.0013962875786418583,-0.0008855342863011637,0.26,0.3637236943423723,0.02554577626476884
2020,7,0.00134172605174068,0.0013408498211881753,0.0013702613380179147,-0.0008991857192047417,0.36,0.41772941022597193,0.03524246825537189
2020,8,0.0013782209420485588,0.0014281654678720034,0.001320025529780322,-0.0006075801141138557,0.24,0.26934242988745555,0.037211641788394284
2020,9,0.0014273736439481752,0.0015067288223921873,0.0014370572441804689,-0.000752521553020174,0.64,0.5814644156410901,0.04955283083332363
2020,10,0.0014227991997972126,0.0014190583246223936,0.0013239402611039195,-0.0006346684629673469,0.86,0.6151459915676405,0.07089265974933218
2020,11,0.0014586043030299447,0.0014479951979393414,0.001382815877274554,-0.0007276476124907906,0.89,0.6733896926695998,0.07481739307343828
2020,12,0.0013673049996371237,0.0013811861381136901,0.001273167121786187,-0.000578966222025098,1.35,0.9955957425154728,0.08382361480163386
2021,1,0.012238922373205065,0.012242432451861348,0.012247479263237143,-0.006265185932577471,0.25,0.41706592825376965,0.04983203071976385
2021,2,0.006510025086068816,0.006732162057697991,0.0064858833033431445,-0.0034655301606920223,0.86,0.8373234487462817,0.0247695687959997
2021,3,0.006998326684374839,0.007269109321011879,0.007009843482432749,-0.0037592044284938597,0.93,0.8467990102198731,0.021641302553942195
2021,4,0.006699250633092362,0.006854646442357797,0.006861957964564547,-0.00419816230035407,0.31,0.5256985001598259,0.04434477326080736
2021,5,0.007938686300989418,0.008589616530271254,0.008683886963801051,-0.005481571872507597,0.83,0.7483718006804869,0.009609627069285151
2021,6,0.011827482794391454,0.012341351853767805,0.01236198591483892,-0.006982006667620292,,0.4170659282537697,0.049832030719763866
