,Indice,Nd,Regressao,tsw,Ano,Mês,Previsão,Eroo,EQM(%)
0,IBC_BR,0,rf,0,2021,5,140.0811700000001,0.6566644863245867,4.34
1,IBC_BR,0,rf,0,2021,6,139.67263710750007,0.5762906002565391,4.34
0,IBC_BR,1,rf,0,2021,5,142.08107500000006,0.6901373170427577,3.75
1,IBC_BR,1,rf,0,2021,6,139.7836530312501,0.6473884455840834,3.75
0,ICE,0,rf,0,2021,6,94.10489999999993,1.1595655177695101,12.44
0,ICE,1,rf,0,2021,6,92.46379999999992,1.270875587931395,10.26
0,IE_E,0,rf,0,2021,3,89.84877500000002,1.7294952802407475,10.83
1,IE_E,0,rf,0,2021,4,92.45989080000007,2.3508271689519873,10.83
2,IE_E,0,rf,0,2021,5,92.83296152330004,1.2423717998861201,10.83
3,IE_E,0,rf,0,2021,6,93.13168878656428,0.8749629437598401,10.83
0,IE_E,1,rf,0,2021,3,88.80380000000002,1.6020529984991276,11.04
1,IE_E,1,rf,0,2021,4,89.03167634999997,1.2212553870363927,11.04
2,IE_E,1,rf,0,2021,5,88.39661394691242,0.8513440414871849,11.04
3,IE_E,1,rf,0,2021,6,90.69131944004548,1.0006794536130792,11.04
0,IPCA,0,rf,0,2021,6,0.5055224999999999,0.1560744077155187,225.1
0,IPCA,1,rf,0,2021,6,0.4712824999999999,0.14595560264597596,300.35
0,EPU,0,rf,0,2021,6,164.54357279690748,21.20815408094503,66.94
0,EPU,1,rf,0,2021,6,178.68240890260995,16.04970544808328,67.52
0,ISA_E,0,rf,0,2021,3,90.89795,2.420805702137149,12.75
1,ISA_E,0,rf,0,2021,4,94.01832366250001,3.1235391074445347,12.75
2,ISA_E,0,rf,0,2021,5,94.43342608357496,1.3862687998414487,12.75
3,ISA_E,0,rf,0,2021,6,94.70406317736771,1.0121032334234121,12.75
0,ISA_E,1,rf,0,2021,3,89.37722499999998,2.343904130798569,11.05
1,ISA_E,1,rf,0,2021,4,89.45002351250002,1.7414990398608883,11.05
2,ISA_E,1,rf,0,2021,5,89.35540153065313,0.9311243663059638,11.05
3,ISA_E,1,rf,0,2021,6,92.57625391596216,1.4490396147647286,11.05
0,selic,0,rf,0,2021,6,2.2693425000000014,0.618092760387752,86.0
0,selic,1,rf,0,2021,6,2.341342500000001,0.4043790127389773,99.59
0,IBC_BR,0,knn,0,2021,5,139.21875,0.41387309347190404,5.02
1,IBC_BR,0,knn,0,2021,6,139.2215,0.9446589662412574,5.02
0,IBC_BR,1,knn,0,2021,5,139.62275,0.9787389526835073,4.78
1,IBC_BR,1,knn,0,2021,6,139.11866249999997,0.234039196436732,4.78
0,ICE,0,knn,0,2021,6,92.425,3.066492295767268,14.77
0,ICE,1,knn,0,2021,6,94.155,2.5895897358462006,12.84
0,IE_E,0,knn,0,2021,3,90.14,3.3199999999999985,15.89
1,IE_E,0,knn,0,2021,4,90.192,1.0894108499551478,15.89
2,IE_E,0,knn,0,2021,5,90.1893,1.201942224069027,15.89
3,IE_E,0,knn,0,2021,6,91.81755749999999,1.2026259680148896,15.89
0,IE_E,1,knn,0,2021,3,90.88,2.0901196138020404,14.82
1,IE_E,1,knn,0,2021,4,91.453,0.9241379767112695,14.82
2,IE_E,1,knn,0,2021,5,90.9583,0.8373899987461036,14.82
3,IE_E,1,knn,0,2021,6,92.183985,0.7922988847493133,14.82
0,IPCA,0,knn,0,2021,6,0.4,0.26057628441590763,249.89
0,IPCA,1,knn,0,2021,6,0.366,0.23199999999999996,278.1
0,EPU,0,knn,0,2021,6,182.30436251999998,36.818467483293205,76.74
0,EPU,1,knn,0,2021,6,193.59698527749998,26.82478332211683,76.06
0,ISA_E,0,knn,0,2021,3,91.3275,3.610746979504384,15.61
1,ISA_E,0,knn,0,2021,4,91.38700000000001,1.3800492744826196,15.61
2,ISA_E,0,knn,0,2021,5,91.5421875,0.6195784321566974,15.61
3,ISA_E,0,knn,0,2021,6,94.241253125,1.7199107890966807,15.61
0,ISA_E,1,knn,0,2021,3,91.8525,2.887471861334759,13.27
1,ISA_E,1,knn,0,2021,4,92.3416875,2.0929182965643363,13.27
2,ISA_E,1,knn,0,2021,5,92.03170937500002,0.4683213057505731,13.27
3,ISA_E,1,knn,0,2021,6,94.817505859375,1.1494368954565508,13.27
0,selic,0,knn,0,2021,6,1.8075000000000003,0.10846082241989505,94.72
0,selic,1,knn,0,2021,6,1.8265,0.17932582078440354,97.23
0,IBC_BR,0,gb,0,2021,5,139.7276151171834,0.585261418538642,4.47
1,IBC_BR,0,gb,0,2021,6,139.5453308640424,0.22585524458667708,4.47
0,IBC_BR,1,gb,0,2021,5,141.2592597338666,0.8427284911339237,4.08
1,IBC_BR,1,gb,0,2021,6,139.4692213203753,0.4088339750799423,4.08
0,ICE,0,gb,0,2021,6,93.9410970978612,1.8326232254602672,13.14
0,ICE,1,gb,0,2021,6,92.75451773554275,1.5503923625521208,11.56
0,IE_E,0,gb,0,2021,3,91.12299511389752,1.488551789688693,13.25
1,IE_E,0,gb,0,2021,4,93.49980997402179,1.9436502837026026,13.25
2,IE_E,0,gb,0,2021,5,93.73546495035752,2.042194336626824,13.25
3,IE_E,0,gb,0,2021,6,92.80373709871058,0.9552490348546392,13.25
0,IE_E,1,gb,0,2021,3,89.75517279641781,2.339988531034633,12.29
1,IE_E,1,gb,0,2021,4,90.49397585038817,1.0222257920266369,12.29
2,IE_E,1,gb,0,2021,5,89.5118428002449,0.8844837048903462,12.29
3,IE_E,1,gb,0,2021,6,91.49444209006931,0.9316459889847648,12.29
0,IPCA,0,gb,0,2021,6,0.42393301560150726,0.22553037544529836,246.89
0,IPCA,1,gb,0,2021,6,0.3266432577234866,0.10556224900612117,297.36
0,EPU,0,gb,0,2021,6,178.27211766270608,29.148669192641805,64.52
0,EPU,1,gb,0,2021,6,179.23301353737568,25.097438970208184,69.89
0,ISA_E,0,gb,0,2021,3,92.29703249076667,2.3239201768998603,14.35
1,ISA_E,0,gb,0,2021,4,94.99310180163202,2.101534063489754,14.35
2,ISA_E,0,gb,0,2021,5,94.59239016096151,0.8751679467238541,14.35
3,ISA_E,0,gb,0,2021,6,94.61692001305337,0.35367215725493295,14.35
0,ISA_E,1,gb,0,2021,3,91.00737851591698,2.8214271639983335,11.58
1,ISA_E,1,gb,0,2021,4,91.16830100606705,1.7636130256475253,11.58
2,ISA_E,1,gb,0,2021,5,90.53223968933484,1.0017773789820446,11.58
3,ISA_E,1,gb,0,2021,6,93.20779520044287,1.6404557243330566,11.58
0,selic,0,gb,0,2021,6,2.292363395563632,0.9787837647765117,86.94
0,selic,1,gb,0,2021,6,2.3328730764711296,0.32489399082929704,91.43
0,IBC_BR,0,mlr,0,2021,5,144.3140446853893,1.8404465427536736,3.9
1,IBC_BR,0,mlr,0,2021,6,140.82620673612251,2.871113127394281,3.9
0,IBC_BR,1,mlr,0,2021,5,137.8347563420656,7.138370747776049,4.16
1,IBC_BR,1,mlr,0,2021,6,143.85494754299856,27.86451169558302,4.16
0,ICE,0,mlr,0,2021,6,93.32186331413746,9.452239551406837,13.72
0,ICE,1,mlr,0,2021,6,55.62533549199723,48.56632626703801,15.36
0,IE_E,0,mlr,0,2021,3,103.51489943792384,40.08143800070573,14.36
1,IE_E,0,mlr,0,2021,4,88.84385690414936,6.949943363467825,14.36
2,IE_E,0,mlr,0,2021,5,89.4125322796865,21.801220226868345,14.36
3,IE_E,0,mlr,0,2021,6,95.22614148306229,7.301679331199272,14.36
0,IE_E,1,mlr,0,2021,3,122.47688096228153,44.549976096843906,14.06
1,IE_E,1,mlr,0,2021,4,89.08306722621766,5.417531233341059,14.06
2,IE_E,1,mlr,0,2021,5,151.4165638235969,26.266308180945444,14.06
3,IE_E,1,mlr,0,2021,6,114.1940820799542,41.43399848370021,14.06
0,IPCA,0,mlr,0,2021,6,0.7014486907207915,0.32928845433414683,276.81
0,IPCA,1,mlr,0,2021,6,1.7900282946270174,1.412441408993012,292.96
0,EPU,0,mlr,0,2021,6,125.94078964895853,51.154024204997306,68.92
0,EPU,1,mlr,0,2021,6,135.98070441293606,420.06414600330226,72.12
0,ISA_E,0,mlr,0,2021,3,99.8944908810851,27.855295060759296,14.11
1,ISA_E,0,mlr,0,2021,4,99.21686515796293,32.91837255801174,14.11
2,ISA_E,0,mlr,0,2021,5,89.89598153076196,20.223293389035963,14.11
3,ISA_E,0,mlr,0,2021,6,98.3237506734126,9.4200033156463,14.11
0,ISA_E,1,mlr,0,2021,3,130.92849952520586,33.96287098234076,13.48
1,ISA_E,1,mlr,0,2021,4,101.39060310796042,14.681165893283987,13.48
2,ISA_E,1,mlr,0,2021,5,140.45200701004515,23.233170540590766,13.48
3,ISA_E,1,mlr,0,2021,6,147.67535322703125,47.98005941568579,13.48
0,selic,0,mlr,0,2021,6,-1.5369009400433211,7.374830777788034,119.87
0,selic,1,mlr,0,2021,6,-8.069973142970515,5.604509335956868,95.89
0,IBC_BR,0,rf,1,2021,5,140.0853575000001,0.8171879866001814,3.81
1,IBC_BR,0,rf,1,2021,6,139.7349091006251,0.5280232452778424,3.81
0,IBC_BR,1,rf,1,2021,5,141.82901250000006,0.6651902078305899,3.69
1,IBC_BR,1,rf,1,2021,6,139.72391631562513,0.4390879596014447,3.69
0,ICE,0,rf,1,2021,6,93.68829999999991,1.1889458608364125,12.06
0,ICE,1,rf,1,2021,6,92.15649999999992,1.9246736476607886,10.88
0,IE_E,0,rf,1,2021,3,89.61847500000002,1.793134127547354,11.67
1,IE_E,0,rf,1,2021,4,92.50438186875002,2.1500266013274194,11.67
2,IE_E,0,rf,1,2021,5,92.9295476551047,1.5365122419043085,11.67
3,IE_E,0,rf,1,2021,6,92.88874067559348,0.8227403170751834,11.67
0,IE_E,1,rf,1,2021,3,88.50320000000002,1.8085984933091295,10.61
1,IE_E,1,rf,1,2021,4,89.13798800000002,0.9551470206999616,10.61
2,IE_E,1,rf,1,2021,5,88.60850990200007,0.877169064143593,10.61
3,IE_E,1,rf,1,2021,6,90.91638655600602,1.0932520176750584,10.61
0,IPCA,0,rf,1,2021,6,0.4827599999999997,0.1404522281774125,294.01
0,IPCA,1,rf,1,2021,6,0.4771675,0.1492987899942597,224.69
0,EPU,0,rf,1,2021,6,162.17158489893995,22.603509733832222,61.84
0,EPU,1,rf,1,2021,6,177.36923413848245,17.042219014868,69.28
0,ISA_E,0,rf,1,2021,3,91.19954999999996,1.963681248955603,12.47
1,ISA_E,0,rf,1,2021,4,94.04464,2.0741615800856885,12.47
2,ISA_E,0,rf,1,2021,5,94.41909677000004,1.2264510229511567,12.47
3,ISA_E,0,rf,1,2021,6,94.93966361927748,0.6868867211714196,12.47
0,ISA_E,1,rf,1,2021,3,90.04862499999994,1.7150661749258513,10.58
1,ISA_E,1,rf,1,2021,4,90.1528146875,1.3247525934959974,10.58
2,ISA_E,1,rf,1,2021,5,89.82073182171875,0.7503776607691854,10.58
3,ISA_E,1,rf,1,2021,6,92.62556060174113,1.3119661351213627,10.58
0,selic,0,rf,1,2021,6,2.214327500000001,0.3428280377882624,83.62
0,selic,1,rf,1,2021,6,2.3333875000000015,0.617262345841499,100.43
0,IBC_BR,0,gb,1,2021,5,139.61463039894525,0.4516904129327755,4.6
1,IBC_BR,0,gb,1,2021,6,139.49530312092972,0.21617987745620676,4.6
0,IBC_BR,1,gb,1,2021,5,141.41932654128186,0.705044513409199,4.22
1,IBC_BR,1,gb,1,2021,6,139.44631533603174,0.4388119870705925,4.22
0,ICE,0,gb,1,2021,6,93.94360539989438,1.8831075760740497,13.16
0,ICE,1,gb,1,2021,6,92.53057908016333,2.1240770351276512,11.51
0,IE_E,0,gb,1,2021,3,90.70902608477076,2.1120497806200342,13.29
1,IE_E,0,gb,1,2021,4,93.247441656398,2.0612417353854804,13.29
2,IE_E,0,gb,1,2021,5,93.98226144253803,2.4964715590096582,13.29
3,IE_E,0,gb,1,2021,6,92.96616499479099,1.233331554138258,13.29
0,IE_E,1,gb,1,2021,3,89.84458787964908,2.4665596708431337,12.47
1,IE_E,1,gb,1,2021,4,89.97095641418589,1.7915173413931613,12.47
2,IE_E,1,gb,1,2021,5,89.18248306855723,1.2091175711032207,12.47
3,IE_E,1,gb,1,2021,6,91.11523159814803,1.1425061416557873,12.47
0,IPCA,0,gb,1,2021,6,0.3975865602202202,0.19327948382796978,273.31
0,IPCA,1,gb,1,2021,6,0.3301010301084544,0.11652403746296053,253.68
0,EPU,0,gb,1,2021,6,177.36974733910745,30.89594142605817,65.19
0,EPU,1,gb,1,2021,6,181.98005817038575,23.66438705053965,72.12
0,ISA_E,0,gb,1,2021,3,92.48319665648725,1.6385609897976834,14.26
1,ISA_E,0,gb,1,2021,4,95.43671672026295,2.395963667225517,14.26
2,ISA_E,0,gb,1,2021,5,95.68159006097717,1.6321853040063967,14.26
3,ISA_E,0,gb,1,2021,6,95.03192223224362,0.3524205566370727,14.26
0,ISA_E,1,gb,1,2021,3,91.66754800273785,2.620565370505549,12.21
1,ISA_E,1,gb,1,2021,4,91.67802943593026,1.4270919889749372,12.21
2,ISA_E,1,gb,1,2021,5,90.61644299257907,0.9864174744593132,12.21
3,ISA_E,1,gb,1,2021,6,93.5339564388506,1.3940229003922424,12.21
0,selic,0,gb,1,2021,6,2.090517718084768,0.2951268600992028,93.06
0,selic,1,gb,1,2021,6,2.197302857921513,0.2574778667217894,87.17
0,IBC_BR,0,mlr,1,2021,5,143.54633365339754,3.2433942568682657,3.91
1,IBC_BR,0,mlr,1,2021,6,138.94036543925296,7.297370725240192,3.91
0,IBC_BR,1,mlr,1,2021,5,140.37128616701776,14.108263130521363,4.63
1,IBC_BR,1,mlr,1,2021,6,145.7689600495558,38.65001739471463,4.63
0,ICE,0,mlr,1,2021,6,96.08428505035074,10.952369510851494,13.91
0,ICE,1,mlr,1,2021,6,59.130798507257076,46.943186270543485,13.44
0,IE_E,0,mlr,1,2021,3,104.83234314069371,37.14166796435392,14.51
1,IE_E,0,mlr,1,2021,4,90.93069454281756,7.998055317006222,14.51
2,IE_E,0,mlr,1,2021,5,85.38459056900997,27.254046650433317,14.51
3,IE_E,0,mlr,1,2021,6,92.01227845470095,13.261239153621467,14.51
0,IE_E,1,mlr,1,2021,3,128.79924837858707,63.17330091884256,13.17
1,IE_E,1,mlr,1,2021,4,90.86952438693433,13.079864185515838,13.17
2,IE_E,1,mlr,1,2021,5,155.42376829055289,23.521382792240853,13.17
3,IE_E,1,mlr,1,2021,6,132.9644426415607,30.93819825907615,13.17
0,IPCA,0,mlr,1,2021,6,0.7973525783377011,0.39816036803544835,283.22
0,IPCA,1,mlr,1,2021,6,1.976312565487619,1.3077401199769558,242.42
0,EPU,0,mlr,1,2021,6,105.35189896026195,316.84298163041285,64.89
0,EPU,1,mlr,1,2021,6,156.98156774272422,430.0074169128151,75.93
0,ISA_E,0,mlr,1,2021,3,99.145603460815,24.625980193252186,14.79
1,ISA_E,0,mlr,1,2021,4,89.36894134474761,6.425545709144973,14.79
2,ISA_E,0,mlr,1,2021,5,87.57752535963458,20.562468553923726,14.79
3,ISA_E,0,mlr,1,2021,6,95.37300888057916,12.208824991410296,14.79
0,ISA_E,1,mlr,1,2021,3,130.52965785472742,59.66514358153553,13.64
1,ISA_E,1,mlr,1,2021,4,102.60132669589557,14.078868247177711,13.64
2,ISA_E,1,mlr,1,2021,5,144.3633799257268,18.463948500044356,13.64
3,ISA_E,1,mlr,1,2021,6,155.09489203050995,42.13681216781286,13.64
0,selic,0,mlr,1,2021,6,-3.1342965321399108,5.070162448018257,115.5
0,selic,1,mlr,1,2021,6,-6.334421676813214,5.456197144525835,96.36
